attack,classfication,defense,hp,japanese_name,name,pokedex_number,sp_attack,sp_defense,speed,type1,type2
60,Tiny Bird Pokémon,30,40,Onisuzumeオニスズメ,Spearow,21,31,31,70,normal,flying
90,Beak Pokémon,65,65,Onidrillオニドリル,Fearow,22,61,61,100,normal,flying
60,Snake Pokémon,44,35,Arboアーボ,Ekans,23,40,54,55,poison,
95,Cobra Pokémon,69,60,Arbokアーボック,Arbok,24,65,79,80,poison,
55,Mouse Pokémon,40,35,Pikachuピカチュウ,Pikachu,25,50,50,90,electric,
85,Mouse Pokémon,50,60,Raichuライチュウ,Raichu,26,95,85,110,electric,electric
75,Mouse Pokémon,90,50,Sandサンド,Sandshrew,27,10,35,40,ground,ice
100,Mouse Pokémon,120,75,Sandpanサンドパン,Sandslash,28,25,65,65,ground,ice
47,Poison Pin Pokémon,52,55,Nidoran?ニドラン♀,Nidoran♀,29,40,40,41,poison,
62,Poison Pin Pokémon,67,70,Nidorinaニドリーナ,Nidorina,30,55,55,56,poison,
92,Drill Pokémon,87,90,Nidoqueenニドクイン,Nidoqueen,31,75,85,76,poison,ground
57,Poison Pin Pokémon,40,46,Nidoran?ニドラン♂,Nidoran♂,32,40,40,50,poison,
72,Poison Pin Pokémon,57,61,Nidorinoニドリーノ,Nidorino,33,55,55,65,poison,
102,Drill Pokémon,77,81,Nidokingニドキング,Nidoking,34,85,75,85,poison,ground
45,Fairy Pokémon,48,70,Pippiピッピ,Clefairy,35,60,65,35,fairy,
70,Fairy Pokémon,73,95,Pixyピクシー,Clefable,36,95,90,60,fairy,
41,Fox Pokémon,40,38,Rokonロコン,Vulpix,37,50,65,65,fire,ice
67,Fox Pokémon,75,73,Kyukonキュウコン,Ninetales,38,81,100,109,fire,ice
45,Balloon Pokémon,20,115,Purinプリン,Jigglypuff,39,45,25,20,normal,fairy
70,Balloon Pokémon,45,140,Pukurinプクリン,Wigglytuff,40,85,50,45,normal,fairy
45,Bat Pokémon,35,40,Zubatズバット,Zubat,41,30,40,55,poison,flying
80,Bat Pokémon,70,75,Golbatゴルバット,Golbat,42,65,75,90,poison,flying
50,Weed Pokémon,55,45,Nazonokusaナゾノクサ,Oddish,43,75,65,30,grass,poison
65,Weed Pokémon,70,60,Kusaihanaクサイハナ,Gloom,44,85,75,40,grass,poison
80,Flower Pokémon,85,75,Ruffresiaラフレシア,Vileplume,45,110,90,50,grass,poison
70,Mushroom Pokémon,55,35,Parasパラス,Paras,46,45,55,25,bug,grass
95,Mushroom Pokémon,80,60,Parasectパラセクト,Parasect,47,60,80,30,bug,grass
55,Insect Pokémon,50,60,Kongpangコンパン,Venonat,48,40,55,45,bug,poison
65,Poison Moth Pokémon,60,70,Morphonモルフォン,Venomoth,49,90,75,90,bug,poison
55,Mole Pokémon,30,10,Digdaディグダ,Diglett,50,35,45,90,ground,ground
100,Mole Pokémon,60,35,Dugtrioダグトリオ,Dugtrio,51,50,70,110,ground,ground
35,Scratch Cat Pokémon,35,40,Nyarthニャース,Meowth,52,50,40,90,normal,dark
60,Classy Cat Pokémon,60,65,Persianペルシアン,Persian,53,75,65,115,normal,dark
52,Duck Pokémon,48,50,Koduckコダック,Psyduck,54,65,50,55,water,
82,Duck Pokémon,78,80,Golduckゴルダック,Golduck,55,95,80,85,water,
80,Pig Monkey Pokémon,35,40,Mankeyマンキー,Mankey,56,35,45,70,fighting,
105,Pig Monkey Pokémon,60,65,Okorizaruオコリザル,Primeape,57,60,70,95,fighting,
70,Puppy Pokémon,45,55,Gardieガーディ,Growlithe,58,70,50,60,fire,
110,Legendary Pokémon,80,90,Windieウインディ,Arcanine,59,100,80,95,fire,
50,Tadpole Pokémon,40,40,Nyoromoニョロモ,Poliwag,60,40,40,90,water,
65,Tadpole Pokémon,65,65,Nyorozoニョロゾ,Poliwhirl,61,50,50,90,water,
95,Tadpole Pokémon,95,90,Nyorobonニョロボン,Poliwrath,62,70,90,70,water,fighting
20,Psi Pokémon,15,25,Caseyケーシィ,Abra,63,105,55,90,psychic,
35,Psi Pokémon,30,40,Yungererユンゲラー,Kadabra,64,120,70,105,psychic,
50,Psi Pokémon,65,55,Foodinフーディン,Alakazam,65,175,105,150,psychic,
80,Superpower Pokémon,50,70,Wanrikyワンリキー,Machop,66,35,35,35,fighting,
100,Superpower Pokémon,70,80,Gorikyゴーリキー,Machoke,67,50,60,45,fighting,
130,Superpower Pokémon,80,90,Kairikyカイリキー,Machamp,68,65,85,55,fighting,
75,Flower Pokémon,35,50,Madatsubomiマダツボミ,Bellsprout,69,70,30,40,grass,poison
90,Flycatcher Pokémon,50,65,Utsudonウツドン,Weepinbell,70,85,45,55,grass,poison
105,Flycatcher Pokémon,65,80,Utsubotウツボット,Victreebel,71,100,70,70,grass,poison
40,Jellyfish Pokémon,35,40,Menokurageメノクラゲ,Tentacool,72,50,100,70,water,poison
70,Jellyfish Pokémon,65,80,Dokukurageドククラゲ,Tentacruel,73,80,120,100,water,poison
80,Rock Pokémon,100,40,Isitsubuteイシツブテ,Geodude,74,30,30,20,rock,ground
95,Rock Pokémon,115,55,Goloneゴローン,Graveler,75,45,45,35,rock,ground
120,Megaton Pokémon,130,80,Golonyaゴローニャ,Golem,76,55,65,45,rock,ground
85,Fire Horse Pokémon,55,50,Ponytaポニータ,Ponyta,77,65,65,90,fire,
100,Fire Horse Pokémon,70,65,Gallopギャロップ,Rapidash,78,80,80,105,fire,
65,Dopey Pokémon,65,90,Yadonヤドン,Slowpoke,79,40,40,15,water,psychic
75,Hermit Crab Pokémon,180,95,Yadoranヤドラン,Slowbro,80,130,80,30,water,psychic
35,Magnet Pokémon,70,25,Coilコイル,Magnemite,81,95,55,45,electric,steel
60,Magnet Pokémon,95,50,Rarecoilレアコイル,Magneton,82,120,70,70,electric,steel
90,Wild Duck Pokémon,55,52,Kamonegiカモネギ,Farfetch'd,83,58,62,60,normal,flying
85,Twin Bird Pokémon,45,35,Dodoドードー,Doduo,84,35,35,75,normal,flying
110,Triple Bird Pokémon,70,60,Dodorioドードリオ,Dodrio,85,60,60,110,normal,flying
45,Sea Lion Pokémon,55,65,Pawouパウワウ,Seel,86,45,70,45,water,
70,Sea Lion Pokémon,80,90,Jugonジュゴン,Dewgong,87,70,95,70,water,ice
80,Sludge Pokémon,50,80,Betbeterベトベター,Grimer,88,40,50,25,poison,poison
105,Sludge Pokémon,75,105,Betbetonベトベトン,Muk,89,65,100,50,poison,poison
65,Bivalve Pokémon,100,30,Shellderシェルダー,Shellder,90,45,25,40,water,
95,Bivalve Pokémon,180,50,Parshenパルシェン,Cloyster,91,85,45,70,water,ice
35,Gas Pokémon,30,30,Ghosゴース,Gastly,92,100,35,80,ghost,poison
50,Gas Pokémon,45,45,Ghostゴースト,Haunter,93,115,55,95,ghost,poison
65,Shadow Pokémon,80,60,Gangarゲンガー,Gengar,94,170,95,130,ghost,poison
45,Rock Snake Pokémon,160,35,Iwarkイワーク,Onix,95,30,45,70,rock,ground
48,Hypnosis Pokémon,45,60,Sleepeスリープ,Drowzee,96,43,90,42,psychic,
73,Hypnosis Pokémon,70,85,Sleeperスリーパー,Hypno,97,73,115,67,psychic,
105,River Crab Pokémon,90,30,Crabクラブ,Krabby,98,25,25,50,water,
130,Pincer Pokémon,115,55,Kinglerキングラー,Kingler,99,50,50,75,water,
30,Ball Pokémon,50,40,Biriridamaビリリダマ,Voltorb,100,55,55,100,electric,
50,Ball Pokémon,70,60,Marumineマルマイン,Electrode,101,80,80,150,electric,
40,Egg Pokémon,80,60,Tamatamaタマタマ,Exeggcute,102,60,45,40,grass,psychic
105,Coconut Pokémon,85,95,Nassyナッシー,Exeggutor,103,125,75,45,grass,psychic
50,Lonely Pokémon,95,50,Karakaraカラカラ,Cubone,104,40,50,35,ground,
80,Bone Keeper Pokémon,110,60,Garagaraガラガラ,Marowak,105,50,80,45,ground,fire
120,Kicking Pokémon,53,50,Sawamularサワムラー,Hitmonlee,106,35,110,87,fighting,
105,Punching Pokémon,79,50,Ebiwalarエビワラー,Hitmonchan,107,35,110,76,fighting,
55,Licking Pokémon,75,90,Beroringaベロリンガ,Lickitung,108,60,75,30,normal,
65,Poison Gas Pokémon,95,40,Dogarsドガース,Koffing,109,60,45,35,poison,
90,Poison Gas Pokémon,120,65,Matadogasマタドガス,Weezing,110,85,70,60,poison,
85,Spikes Pokémon,95,80,Sihornサイホーン,Rhyhorn,111,30,30,25,ground,rock
130,Drill Pokémon,120,105,Sidonサイドン,Rhydon,112,45,45,40,ground,rock
5,Egg Pokémon,5,250,Luckyラッキー,Chansey,113,35,105,50,normal,
55,Vine Pokémon,115,65,Monjaraモンジャラ,Tangela,114,100,40,60,grass,
125,Parent Pokémon,100,105,Garuraガルーラ,Kangaskhan,115,60,100,100,normal,
40,Dragon Pokémon,70,30,Tattuタッツー,Horsea,116,70,25,60,water,
65,Dragon Pokémon,95,55,Seadraシードラ,Seadra,117,95,45,85,water,
67,Goldfish Pokémon,60,45,Tosakintoトサキント,Goldeen,118,35,50,63,water,
92,Goldfish Pokémon,65,80,Azumaoアズマオウ,Seaking,119,65,80,68,water,
45,Starshape Pokémon,55,30,Hitodemanヒトデマン,Staryu,120,70,55,85,water,
75,Mysterious Pokémon,85,60,Starmieスターミー,Starmie,121,100,85,115,water,psychic
45,Barrier Pokémon,65,40,Barrierdバリヤード,Mr. Mime,122,100,120,90,psychic,fairy
110,Mantis Pokémon,80,70,Strikeストライク,Scyther,123,55,80,105,bug,flying
50,Humanshape Pokémon,35,65,Rougelaルージュラ,Jynx,124,115,95,95,ice,psychic
83,Electric Pokémon,57,65,Elebooエレブー,Electabuzz,125,95,85,105,electric,
95,Spitfire Pokémon,57,65,Booberブーバー,Magmar,126,100,85,93,fire,
155,Stagbeetle Pokémon,120,65,Kailiosカイロス,Pinsir,127,65,90,105,bug,
100,Wild Bull Pokémon,95,75,Kentaurosケンタロス,Tauros,128,40,70,110,normal,
10,Fish Pokémon,55,20,Koikingコイキング,Magikarp,129,15,20,80,water,
155,Atrocious Pokémon,109,95,Gyaradosギャラドス,Gyarados,130,70,130,81,water,flying
85,Transport Pokémon,80,130,Laplaceラプラス,Lapras,131,85,95,60,water,ice
48,Transform Pokémon,48,48,Metamonメタモン,Ditto,132,48,48,48,normal,
55,Evolution Pokémon,50,55,Eievuiイーブイ,Eevee,133,45,65,55,normal,
65,Bubble Jet Pokémon,60,130,Showersシャワーズ,Vaporeon,134,110,95,65,water,
65,Lightning Pokémon,60,65,Thundersサンダース,Jolteon,135,110,95,130,electric,
130,Flame Pokémon,60,65,Boosterブースター,Flareon,136,95,110,65,fire,
60,Virtual Pokémon,70,65,Porygonポリゴン,Porygon,137,85,75,40,normal,
40,Spiral Pokémon,100,35,Omniteオムナイト,Omanyte,138,90,55,35,rock,water
60,Spiral Pokémon,125,70,Omstarオムスター,Omastar,139,115,70,55,rock,water
80,Shellfish Pokémon,90,30,Kabutoカブト,Kabuto,140,55,45,55,rock,water
115,Shellfish Pokémon,105,60,Kabutopsカブトプス,Kabutops,141,65,70,80,rock,water
135,Fossil Pokémon,85,80,Pteraプテラ,Aerodactyl,142,70,95,150,rock,flying
110,Sleeping Pokémon,65,160,Kabigonカビゴン,Snorlax,143,65,110,30,normal,
85,Freeze Pokémon,100,90,Freezerフリーザー,Articuno,144,95,125,85,ice,flying
90,Electric Pokémon,85,90,Thunderサンダー,Zapdos,145,125,90,100,electric,flying
100,Flame Pokémon,90,90,Fireファイヤー,Moltres,146,125,85,90,fire,flying
64,Dragon Pokémon,45,41,Miniryuミニリュウ,Dratini,147,50,50,50,dragon,
84,Dragon Pokémon,65,61,Hakuryuハクリュー,Dragonair,148,70,70,70,dragon,
134,Dragon Pokémon,95,91,Kairyuカイリュー,Dragonite,149,100,100,80,dragon,flying
150,Genetic Pokémon,70,106,Mewtwoミュウツー,Mewtwo,150,194,120,140,psychic,
100,New Species Pokémon,100,100,Mewミュウ,Mew,151,100,100,100,psychic,
49,Leaf Pokémon,65,45,Chicoritaチコリータ,Chikorita,152,49,65,45,grass,
62,Leaf Pokémon,80,60,Bayleafベイリーフ,Bayleef,153,63,80,60,grass,
82,Herb Pokémon,100,80,Meganiumメガニウム,Meganium,154,83,100,80,grass,
52,Fire Mouse Pokémon,43,39,Hinoarashiヒノアラシ,Cyndaquil,155,60,50,65,fire,
64,Volcano Pokémon,58,58,Magmarashiマグマラシ,Quilava,156,80,65,80,fire,
84,Volcano Pokémon,78,78,Bakphoonバクフーン,Typhlosion,157,109,85,100,fire,
65,Big Jaw Pokémon,64,50,Waninokoワニノコ,Totodile,158,44,48,43,water,
80,Big Jaw Pokémon,80,65,Alligatesアリゲイツ,Croconaw,159,59,63,58,water,
105,Big Jaw Pokémon,100,85,Ordileオーダイル,Feraligatr,160,79,83,78,water,
46,Scout Pokémon,34,35,Otachiオタチ,Sentret,161,35,45,20,normal,
76,Long Body Pokémon,64,85,Ootachiオオタチ,Furret,162,45,55,90,normal,
30,Owl Pokémon,30,60,Hohoホーホー,Hoothoot,163,36,56,50,normal,flying
50,Owl Pokémon,50,100,Yorunozukuヨルノズク,Noctowl,164,86,96,70,normal,flying
20,Five Star Pokémon,30,40,Redibaレディバ,Ledyba,165,40,80,55,bug,flying
35,Five Star Pokémon,50,55,Redianレディアン,Ledian,166,55,110,85,bug,flying
60,String Spit Pokémon,40,40,Itomaruイトマル,Spinarak,167,40,40,30,bug,poison
90,Long Leg Pokémon,70,70,Ariadosアリアドス,Ariados,168,60,70,40,bug,poison
90,Bat Pokémon,80,85,Crobatクロバット,Crobat,169,70,80,130,poison,flying
38,Angler Pokémon,38,75,Chonchieチョンチー,Chinchou,170,56,56,67,water,electric
58,Light Pokémon,58,125,Lanternランターン,Lanturn,171,76,76,67,water,electric
40,Tiny Mouse Pokémon,15,20,Pichuピチュー,Pichu,172,35,35,60,electric,
25,Star Shape Pokémon,28,50,Pyピィ,Cleffa,173,45,55,15,fairy,
30,Balloon Pokémon,15,90,Pupurinププリン,Igglybuff,174,40,20,15,normal,fairy
20,Spike Ball Pokémon,65,35,Togepyトゲピー,Togepi,175,40,65,20,fairy,
40,Happiness Pokémon,85,55,Togechickトゲチック,Togetic,176,80,105,40,fairy,flying
50,Little Bird Pokémon,45,40,Natyネイティ,Natu,177,70,45,70,psychic,flying
75,Mystic Pokémon,70,65,Natioネイティオ,Xatu,178,95,70,95,psychic,flying
40,Wool Pokémon,40,55,Merriepメリープ,Mareep,179,65,45,35,electric,
55,Wool Pokémon,55,70,Mokokoモココ,Flaaffy,180,80,60,45,electric,
95,Light Pokémon,105,90,Denryuデンリュウ,Ampharos,181,165,110,45,electric,
80,Flower Pokémon,95,75,Kireihanaキレイハナ,Bellossom,182,90,100,50,grass,
20,Aquamouse Pokémon,50,70,Marilマリル,Marill,183,20,50,40,water,fairy
50,Aquarabbit Pokémon,80,100,Marilliマリルリ,Azumarill,184,60,80,50,water,fairy
100,Imitation Pokémon,115,70,Usokkieウソッキー,Sudowoodo,185,30,65,30,rock,
75,Frog Pokémon,75,90,Nyorotonoニョロトノ,Politoed,186,90,100,70,water,
35,Cottonweed Pokémon,40,35,Haneccoハネッコ,Hoppip,187,35,55,50,grass,flying
45,Cottonweed Pokémon,50,55,Popoccoポポッコ,Skiploom,188,45,65,80,grass,flying
55,Cottonweed Pokémon,70,75,Wataccoワタッコ,Jumpluff,189,55,95,110,grass,flying
70,Long Tail Pokémon,55,55,Eipamエイパム,Aipom,190,40,55,85,normal,
30,Seed Pokémon,30,30,Himanutsヒマナッツ,Sunkern,191,30,30,30,grass,
75,Sun Pokémon,55,75,Kimawariキマワリ,Sunflora,192,105,85,30,grass,
65,Clear Wing Pokémon,45,65,Yanyanmaヤンヤンマ,Yanma,193,75,45,95,bug,flying
45,Water Fish Pokémon,45,55,Upahウパー,Wooper,194,25,25,15,water,ground
85,Water Fish Pokémon,85,95,Nuohヌオー,Quagsire,195,65,65,35,water,ground
65,Sun Pokémon,60,65,Eifieエーフィ,Espeon,196,130,95,110,psychic,
65,Moonlight Pokémon,110,95,Blackyブラッキー,Umbreon,197,60,130,65,dark,
85,Darkness Pokémon,42,60,Yamikarasuヤミカラス,Murkrow,198,85,42,91,dark,flying
75,Royal Pokémon,80,95,Yadokingヤドキング,Slowking,199,100,110,30,water,psychic
60,Screech Pokémon,60,60,Mumaムウマ,Misdreavus,200,85,85,85,ghost,
72,Symbol Pokémon,48,48,Unknownアンノーン,Unown,201,72,48,48,psychic,
33,Patient Pokémon,58,190,Sonansソーナンス,Wobbuffet,202,33,58,33,psychic,
80,Long Neck Pokémon,65,70,Kirinrikiキリンリキ,Girafarig,203,90,65,85,normal,psychic
65,Bagworm Pokémon,90,50,Kunugidamaクヌギダマ,Pineco,204,35,35,15,bug,
90,Bagworm Pokémon,140,75,Foretosフォレトス,Forretress,205,60,60,40,bug,steel
70,Land Snake Pokémon,70,100,Nokocchiノコッチ,Dunsparce,206,65,65,45,normal,
75,Flyscorpion Pokémon,105,65,Gligerグライガー,Gligar,207,35,65,85,ground,flying
125,Iron Snake Pokémon,230,75,Haganeilハガネール,Steelix,208,55,95,30,steel,ground
80,Fairy Pokémon,50,60,Buluブルー,Snubbull,209,40,40,30,fairy,
120,Fairy Pokémon,75,90,Granbuluグランブル,Granbull,210,60,60,45,fairy,
95,Balloon Pokémon,85,65,Harysenハリーセン,Qwilfish,211,55,55,85,water,poison
150,Pincer Pokémon,140,70,Hassamハッサム,Scizor,212,65,100,75,bug,steel
10,Mold Pokémon,230,20,Tsubotsuboツボツボ,Shuckle,213,10,230,5,bug,rock
185,Singlehorn Pokémon,115,80,Heracrosヘラクロス,Heracross,214,40,105,75,bug,fighting
95,Sharp Claw Pokémon,55,55,Nyulaニューラ,Sneasel,215,35,75,115,dark,ice
80,Little Bear Pokémon,50,60,Himegumaヒメグマ,Teddiursa,216,50,50,40,normal,
130,Hibernator Pokémon,75,90,Ringumaリングマ,Ursaring,217,75,75,55,normal,
40,Lava Pokémon,40,40,Magmagマグマッグ,Slugma,218,70,40,20,fire,
50,Lava Pokémon,120,60,Magcargotマグカルゴ,Magcargo,219,90,80,30,fire,rock
50,Pig Pokémon,40,50,Urimooウリムー,Swinub,220,30,30,50,ice,ground
100,Swine Pokémon,80,100,Inomooイノムー,Piloswine,221,60,60,50,ice,ground
55,Coral Pokémon,95,65,Sunnygoサニーゴ,Corsola,222,65,95,35,water,rock
65,Jet Pokémon,35,35,Teppouoテッポウオ,Remoraid,223,65,35,65,water,
105,Jet Pokémon,75,75,Okutankオクタン,Octillery,224,105,75,45,water,
55,Delivery Pokémon,45,45,Delibirdデリバード,Delibird,225,65,45,75,ice,flying
40,Kite Pokémon,70,85,Mantainマンタイン,Mantine,226,80,140,70,water,flying
80,Armor Bird Pokémon,140,65,Airmdエアームド,Skarmory,227,40,70,70,steel,flying
60,Dark Pokémon,30,45,Delvilデルビル,Houndour,228,80,50,65,dark,fire
90,Dark Pokémon,90,75,Hellgarヘルガー,Houndoom,229,140,90,115,dark,fire
95,Dragon Pokémon,95,75,Kingdraキングドラ,Kingdra,230,95,95,85,water,dragon
60,Long Nose Pokémon,60,90,Gomazouゴマゾウ,Phanpy,231,40,40,40,ground,
120,Armor Pokémon,120,90,Donfanドンファン,Donphan,232,60,60,50,ground,
80,Virtual Pokémon,90,85,Porygon2ポリゴン２,Porygon2,233,105,95,60,normal,
95,Big Horn Pokémon,62,73,Odoshishiオドシシ,Stantler,234,85,65,85,normal,
20,Painter Pokémon,35,55,Dobleドーブル,Smeargle,235,20,45,75,normal,
35,Scuffle Pokémon,35,35,Balkieバルキー,Tyrogue,236,35,35,35,fighting,
95,Handstand Pokémon,95,50,Kapoererカポエラー,Hitmontop,237,35,110,70,fighting,
30,Kiss Pokémon,15,45,Muchulムチュール,Smoochum,238,85,65,65,ice,psychic
63,Electric Pokémon,37,45,Elekidエレキッド,Elekid,239,65,55,95,electric,
75,Live Coal Pokémon,37,45,Bubyブビィ,Magby,240,70,55,83,fire,
80,Milk Cow Pokémon,105,95,Miltankミルタンク,Miltank,241,40,70,100,normal,
10,Happiness Pokémon,10,255,Happinasハピナス,Blissey,242,75,135,55,normal,
85,Thunder Pokémon,75,90,Raikouライコウ,Raikou,243,115,100,115,electric,
115,Volcano Pokémon,85,115,Enteiエンテイ,Entei,244,90,75,100,fire,
75,Aurora Pokémon,115,100,Suicuneスイクン,Suicune,245,90,115,85,water,
64,Rock Skin Pokémon,50,50,Yogirasヨーギラス,Larvitar,246,45,50,41,rock,ground
84,Hard Shell Pokémon,70,70,Sanagirasサナギラス,Pupitar,247,65,70,51,rock,ground
164,Armor Pokémon,150,100,Bangirasバンギラス,Tyranitar,248,95,120,71,rock,dark
90,Diving Pokémon,130,106,Lugiaルギア,Lugia,249,90,154,110,psychic,flying
130,Rainbow Pokémon,90,106,Hououホウオウ,Ho-Oh,250,110,154,90,fire,flying
100,Time Travel Pokémon,100,100,Celebiセレビィ,Celebi,251,100,100,100,psychic,grass
45,Wood Gecko Pokémon,35,40,Kimoriキモリ,Treecko,252,65,55,70,grass,
65,Wood Gecko Pokémon,45,50,Juptileジュプトル,Grovyle,253,85,65,95,grass,
110,Forest Pokémon,75,70,Jukainジュカイン,Sceptile,254,145,85,145,grass,
60,Chick Pokémon,40,45,Achamoアチャモ,Torchic,255,70,50,45,fire,
85,Young Fowl Pokémon,60,60,Wakasyamoワカシャモ,Combusken,256,85,60,55,fire,fighting
160,Blaze Pokémon,80,80,Bursyamoバシャーモ,Blaziken,257,130,80,100,fire,fighting
70,Mud Fish Pokémon,50,50,Mizugorouミズゴロウ,Mudkip,258,50,50,40,water,
85,Mud Fish Pokémon,70,70,Numacrawヌマクロー,Marshtomp,259,60,70,50,water,ground
150,Mud Fish Pokémon,110,100,Laglargeラグラージ,Swampert,260,95,110,70,water,ground
55,Bite Pokémon,35,35,Pochienaポチエナ,Poochyena,261,30,30,35,dark,
90,Bite Pokémon,70,70,Graenaグラエナ,Mightyena,262,60,60,70,dark,
30,Tiny Racoon Pokémon,41,38,Jiguzagumaジグザグマ,Zigzagoon,263,30,41,60,normal,
70,Rush Pokémon,61,78,Massugumaマッスグマ,Linoone,264,50,61,100,normal,
45,Worm Pokémon,35,45,Kemussoケムッソ,Wurmple,265,20,30,20,bug,
35,Cocoon Pokémon,55,50,Karasalisカラサリス,Silcoon,266,25,25,15,bug,
70,Butterfly Pokémon,50,60,Agehuntアゲハント,Beautifly,267,100,50,65,bug,flying
35,Cocoon Pokémon,55,50,Mayuldマユルド,Cascoon,268,25,25,15,bug,
50,Poison Moth Pokémon,70,60,Dokucaleドクケイル,Dustox,269,50,90,65,bug,poison
30,Water Weed Pokémon,30,40,Hassbohハスボー,Lotad,270,40,50,30,water,grass
50,Jolly Pokémon,50,60,Hasubreroハスブレロ,Lombre,271,60,70,50,water,grass
70,Carefree Pokémon,70,80,Runpappaルンパッパ,Ludicolo,272,90,100,70,water,grass
40,Acorn Pokémon,50,40,Tanebohタネボー,Seedot,273,30,30,30,grass,
70,Wily Pokémon,40,70,Konohanaコノハナ,Nuzleaf,274,60,40,60,grass,dark
100,Wickid Pokémon,60,90,Dirtengダーテング,Shiftry,275,90,60,80,grass,dark
55,TinySwallow Pokémon,30,40,Subameスバメ,Taillow,276,30,30,85,normal,flying
85,Swallow Pokémon,60,60,Ohsubameオオスバメ,Swellow,277,75,50,125,normal,flying
30,Seagull Pokémon,30,40,Camomeキャモメ,Wingull,278,55,30,85,water,flying
50,Water Bird Pokémon,100,60,Pelipperペリッパー,Pelipper,279,95,70,65,water,flying
25,Feeling Pokémon,25,28,Raltsラルトス,Ralts,280,45,35,40,psychic,fairy
35,Emotion Pokémon,35,38,Kirliaキルリア,Kirlia,281,65,55,50,psychic,fairy
85,Embrace Pokémon,65,68,Sirnightサーナイト,Gardevoir,282,165,135,100,psychic,fairy
30,Pond Skater Pokémon,32,40,Ametamaアメタマ,Surskit,283,50,52,65,bug,water
60,Eyeball Pokémon,62,70,Amemothアメモース,Masquerain,284,100,82,80,bug,flying
40,Mushroom Pokémon,60,60,Kinococoキノココ,Shroomish,285,40,60,35,grass,
130,Mushroom Pokémon,80,60,Kinogassaキノガッサ,Breloom,286,60,60,70,grass,fighting
60,Slacker Pokémon,60,60,Namakeroナマケロ,Slakoth,287,35,35,30,normal,
80,Wild Monkey Pokémon,80,80,Yarukimonoヤルキモノ,Vigoroth,288,55,55,90,normal,
160,Lazy Pokémon,100,150,Kekkingケッキング,Slaking,289,95,65,100,normal,
45,Trainee Pokémon,90,31,Tutininツチニン,Nincada,290,30,30,40,bug,ground
90,Ninja Pokémon,45,61,Tekkaninテッカニン,Ninjask,291,50,50,160,bug,flying
90,Shed Pokémon,45,1,Nukeninヌケニン,Shedinja,292,30,30,40,bug,ghost
51,Whisper Pokémon,23,64,Gonyonyoゴニョニョ,Whismur,293,51,23,28,normal,
71,Big Voice Pokémon,43,84,Dogohmbドゴーム,Loudred,294,71,43,48,normal,
91,Loud Noise Pokémon,63,104,Bakuongバクオング,Exploud,295,91,73,68,normal,
60,Guts Pokémon,30,72,Makunoshitaマクノシタ,Makuhita,296,20,30,25,fighting,
120,Arm Thrust Pokémon,60,144,Hariteyamaハリテヤマ,Hariyama,297,40,60,50,fighting,
20,Polka Dot Pokémon,40,50,Ruririルリリ,Azurill,298,20,40,20,normal,fairy
45,Compass Pokémon,135,30,Nosepassノズパス,Nosepass,299,45,90,30,rock,
45,Kitten Pokémon,45,50,Enecoエネコ,Skitty,300,35,35,50,normal,
65,Prim Pokémon,65,70,Enekororoエネコロロ,Delcatty,301,55,55,90,normal,
85,Darkness Pokémon,125,50,Yamiramiヤミラミ,Sableye,302,85,115,20,dark,ghost
105,Deceiver Pokémon,125,50,Kucheatクチート,Mawile,303,55,95,50,steel,fairy
